,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,obj
0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,26,17,32,12,22,15,20,10,9,374.0950110929206
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,34,17,17,20,34,13,27,11,26,385.7430080282227
2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11,15,22,10,20,22,27,17,14,13,3326.7966489403243
3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17,11,13,7,32,15,19,25,22,34,3241.4055607522882
4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25,14,14,34,31,5,33,35,27,7,14005.181125637646
5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,29,24,28,28,30,17,17,18,9,12,8615.00505205353
6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14,16,11,29,6,26,26,35,16,33,8571.756004953764
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,27,20,10,14,28,26,9,32,17,27760.0
8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30,22,19,6,26,24,23,5,18,31,19556.566574781376
9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,32,19,18,14,15,5,7,21,28,11,3353.5068835251695
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,17,35,24,27,15,33,12,22,20,27760.0
11,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26,31,14,11,20,16,32,23,33,21,3829.934874966709
12,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15,35,25,31,32,33,13,28,6,9,8608.372162030437
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,14,14,18,26,16,6,19,21,21,27760.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,23,12,17,21,5,17,14,19,29,27760.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,21,16,10,26,21,14,16,15,5,350.97668522271545
16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,21,12,33,20,31,23,21,19,20,19704.807181623448
17,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13,9,10,33,16,34,22,34,19,15,3085.293601020182
18,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15,5,6,16,32,9,11,34,32,22,491.47522633118217
19,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,35,35,18,24,14,18,29,8,12,22,6350.630694117957
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34,35,19,17,16,17,21,22,31,31,529.2885352488997
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,33,16,6,13,25,35,6,20,27,411.52304583263503
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,29,26,7,17,9,17,28,25,16,22,531.3476758181475
23,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,11,34,21,15,27,19,9,19,387.1884409553884
24,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10,8,18,5,26,28,6,18,13,25,5811.380487631177
25,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,23,29,26,23,30,27,23,10,12,28,3198.5885826890326
26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21,19,33,10,13,34,14,17,28,12,16919.84048695202
27,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,11,18,7,17,27,29,34,32,32,28,11348.407055064887
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,25,5,8,26,11,25,5,25,6,27760.0
29,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,19,11,35,7,10,27,22,19,14,8,564.4506984319871
30,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,26,7,16,20,16,9,13,18,16,34,536.2894341472523
31,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,35,22,6,13,25,20,15,23,32,443.77617876142403
